Post_id,Price,Bedroom,Bathroom,Sqft,Latitude,Longitude,Description,Latlng,Postal_code
 6413435404,2550.0,2.0,2.0,,43.642551,-79.424779,"
        
Queen West Condo: 2 Bedrooms+ Den + 2 Full Bathrooms+Huge Terrace+Awesome View+Parking. Modern Kitchen With Stylish Cabinetry, Backsplash, Laundry. One Year Lease Requirement. Feb-1 Possession. Tenant Pay For Hydro+Tenant Insurance. Queens West Is Named As The World's Second Best Place. Trendy, Hip, Steps To Transit, Restaurants, Shops And The Drake Hotel. Great For Roommates Or Family!    ","43.642551,-79.424779",M6J
 6413449095,2850.0,2.0,2.0,,43.638591,-79.411926,"
        
Welcome To Bliss! Large 2 Bdrm Unit + Den In The Heart Of Liberty Village. Bright Open Concept Living Space, Modern Kitchen, Granite Counters And Quality Laminate Floors. Spacious Home Office Or 3rd Bdrm. Split Bedroom Plan With Excellent Closet Space And 2 Immaculate Baths, Large Balcony With Stunning Views Of The Lake And Skyline. Sought After Location.    ","43.638591,-79.411926",M6K 3P8
 6414253586,2150.0,1.0,1.0,600.0,43.660806,-79.363318,"
        
Beautiful Sun-Filled 1Bed1Bath 22nd Flr*Modern/Elegant Design*Approx. 658Sqft (Including Balcony)*Open Concept Living/Dining W/Lots Of Closet Space!East Facing*9Ft Ceiling*Open Concept Gourmet Kitchen W/Quartz Countertop*Building Amenities:Fitness Ctr*Visitor Parking*Guest Suite*Lounge*Rooftop Terr. W/Bbqs,Theatre Room*Super Convenient Location! Across From 6-Acre Community Park Aquatic Ctr. Dvp/Gardiner.Uoft*Ryerson*George Brown*Freshco*Distillery Close By    ","43.660806,-79.363318",M5A 3G1
 6414334461,1850.0,1.0,1.0,,43.653311,-79.355536,"
        
1 Year New Sun-Filled Amazing 1 Bedroom With Efficient Layout, 9 Ft Ceilings, Floor To Ceiling Windows, Extra Large Balcony, Built-In Appliances, . Steps To Trendy Shops, Cafes, Restaurants Ymca, Distillery District, Front Street Promenade, St Lawrence Market And More. This Unit Will Not Last! High Speed Internet Is Included!!    ","43.653311,-79.355536",M5A 1H7
 6414338693,1750.0,0.0,1.0,,43.665699,-79.385276,"
        
Sophisticated ""5 Condos"" In The Heart Of Downtown Toronto @ Yonge/Bay/Wellesley. Close To Everything You Need! Steps To U Of T, Subway, Restaurants, Shops, Parks And More!Beautiful High-End Finishes Includes Engineered Wood Floor Thru Out, Fully Integrated Full-Size Miele Appliances, Built-In Island, Stone Counter Top, Large Floor To Ceiling Windows, 9' Smooth Ceilings.    ","43.665699,-79.385276",M4Y 1Z3
 6438544245,2850.0,2.0,0.0,,,,"
        
Luxury units 2 Bedr, 85 Queens Wharf Rd, starting: 01-Feb-18Lease Term: 1 YearDen: 0 , Furnished: N , Parking space: 1,  Pets Permitted: N, Sqft: 800-8991 Year Old Development In A Master Planned Community. Beautiful Open Living Space W/Large Windows. Enjoy An Abundance Of Amenities, Poolside Lounge, Outdoor Hot Tub, Yoga Studio, Double Badminton Court, Basketball Court, Massage Lounge And Much More. Steps To Ttc, Sobeys, Rogers Centre, Financial District, Harbourfront Or The Enticing Shores Of Lake Ontario And Entertainment Venues, Qew And Dvp Only Minutes Away - C4010579For more information please call Karen:  
 x007,17:24:53Luxury units 2 Bedr, 85 Queens Wharf Rd, starting: 01-Feb-18
    ","nan,nan",
 6405345555,2100.0,2.0,1.0,,43.653952,-79.367143,"
        
This Beautiful Condo Located In ""The Modern"" Entails 1+1 Bdrms & 1 Bth ~ Gleaming Dark Lush Hardwood Floors Throughout ~ Combined Living And Dining Room W/Juliette Balcony Stunning View From The 12th Fl ~ Kitchen W/Centre Island & Granite Counters ~master Bdrm W/Large Mirrored His & Her Closets & 4Pc Semi Ensuite Bth ~ Dn Is Large Enough For 2 Bdrm ~ Hydro Is Extra.    ","43.653952,-79.367143",M5A 3V6
 6405367724,2500.0,2.0,2.0,,43.626011,-79.477501,"
        
Waterfront Two Bedroom,2 Bath At Ocean Club Sunny Luxury Residence ,Prime Lakeside Unobstructed View Of Lake Ontario. Steps To The Ttc Highways, Lake Front Parks,Trails.Indoor Salt Water Pool, Whirlpool, Sauna, Aerobic Area, Sports Lounge, Cyber Lounge,Party/Meeting Rm, Gym, Exercise Rm, Rooftop Terrace Bbq Garden,Guest Suites, Billiards Rm Visitor Parking,24 Hrs Concierge, 3 Storey High Lobby.    ","43.626011,-79.477501",M8V
 6405387105,2550.0,2.0,1.0,,43.64724,-79.391102,"
        
uxury 1 + 1 Bedroom Apartment At Cinema Tower. Fully Furnished Unit. Great Location. Walk To Financial & Entertainment Districts. This Corner Suite Boasts 2 Full Baths And Features Designer Kitchen Cabinetry With Stainless Steel Appliances, Stone Counter Tops And A Breakfast Bar. Bright Floor-To-Ceiling Windows With Hardwood Flooring Throughout. A Spacious Sized Master Bedroom With A 4-Piece Ensuite. Murphy Bed In Den With Sliding Door.    ","43.64724,-79.391102",M5V 0B8
 6405396083,2250.0,2.0,2.0,740.0,43.637908,-79.415059,"
        
Facing Quiet Eest Courtyard. Bright Living Room, 2 Full Washroom,2nd Bdrm W/Closet Open Design, All Laminate Flooring, Approx 739Sf, Modern Open Concept Kitchen With Granite Countertop. Super Recreation Area With Indoor Pool, Spa, Exercise Room, Theatre Room, Bowling, Etc. King West Area Close To Everything.    ","43.637908,-79.415059",M6K 3R4
